Episode,Total Reward,Steps,Loss
411,2,2,0.19250862300395966
412,8,8,0.7281769216060638
413,150,266,0.5474910275604492
414,366,525,0.2607549070886203
415,318,530,0.17107328014834872
416,2,2,0.14464814960956573
417,4,4,0.1161559484899044
418,186,262,0.23804699288297246
419,22,33,0.2283559667341637
420,16,16,0.22170256730169058
421,4,4,0.20702343434095383
422,338,528,0.3628097124059092
423,16,16,0.27845755126327276
424,2,2,0.2954121530056
425,90,131,0.19909286516085836
426,2,35,0.16280468042407717
427,74,133,0.1937529551691579
428,72,130,0.19400365748084508
429,4,4,0.1622048243880272
430,2,2,0.16548407077789307
431,108,130,0.36296740334767563
432,32,32,0.5992364920675755
433,54,65,0.8882182304675762
434,42,66,0.5947341769933701
435,729,1050,0.2617740764646303
436,8,8,0.18205140810459852
437,98,131,0.1549800515800487
438,352,527,0.22999358532041933
439,64,64,0.18584155349526554
440,198,261,0.19772044953201465
441,731,1050,0.2052822771100771
442,42,66,0.5826580560568607
443,8,8,0.5266302451491356
444,4,4,0.5690838545560837
445,4,17,0.6719289018827326
446,4,4,0.7259291708469391
447,679,1056,0.2784061607918843
448,190,262,0.2188659922312234
449,30,67,0.20147227807276286
450,2,2,0.48965218663215637
451,94,131,0.20852656338278575
452,6,17,0.7505916216794182
453,663,1057,0.3326721332593695
454,146,266,0.21135329690418744
455,32,32,0.18619471578858793
456,44,66,0.19892969998446378
457,8,8,0.26555125415325165
458,8,8,0.15727772563695908
459,-2,9,0.1974377301004198
460,32,32,0.19694538647308946
461,324,529,0.16514889018465756
462,22,33,0.5864904486771786
463,2,2,0.8626202940940857
464,86,132,0.5444030438860258
465,4,4,0.4973694905638695
466,8,8,0.46589913591742516
467,8,8,0.5160268992185593
468,2,2,0.3915204852819443
469,2,2,0.3166709840297699
470,352,527,0.3436470375567731
471,2,2,0.17169814556837082
472,8,8,0.8951475955545902
473,673,1056,0.34497294050754246
474,4,4,0.1609487384557724
475,99,168,0.21598127630672284
476,94,131,0.5112162844370339
477,2,2,0.2376672476530075
478,4,4,0.2943611592054367
479,32,32,0.25595007091760635
480,177,239,0.33942873523449796
481,4,4,0.2976537272334099
482,44,66,0.5265383481076269
483,8,8,0.5521236695349216
484,16,16,0.5847749747335911
485,324,530,0.5096682844015787
486,4,4,0.27121552079916
487,2,2,0.1977330446243286
488,16,16,0.26305633317679167
489,316,530,0.37528238735109004
490,16,16,0.23557322472333908
491,2,2,0.27367234230041504
492,34,67,0.8073914273461299
493,4,4,0.79302878677845
